Date,Product,Region,Amount
31/05/2020,Green Tea,North, 144.78 
03/05/2020,Chicken,North, 218.07 
28/05/2020,Orange Juice,Central, 42.29 
14/05/2020,Orange Juice,North, 338.80 
26/05/2020,Broccoli,South West, 295.84 
28/05/2020,Tomatoes,South, 12.97 
17/05/2020,Chicken,South, 230.88 
06/05/2020,Green Tea,South West, 154.04 
12/05/2020,Sandwiches,East, 242.87 
16/05/2020,Beef,South, 229.28 
27/05/2020,Tomatoes,Central, 307.98 
19/05/2020,Pizza,South West, 238.95 
22/05/2020,Tomatoes,South, 108.61 
24/05/2020,Broccoli,East, 166.45 
03/05/2020,Green Tea,North, 77.31 
23/05/2020,Tomatoes,South, 105.34 
09/05/2020,Beef,South, 78.71 
08/05/2020,Chicken,South, 379.98 
01/05/2020,Tomatoes,Central, 79.68 
25/05/2020,Sandwiches,East, 263.39 
31/05/2020,Pizza,East, 65.30 
07/05/2020,Green Tea,South, 304.84 
22/05/2020,Green Tea,North, 279.69 
04/05/2020,Green Tea,South West, 348.46 
15/05/2020,Green Tea,North, 179.82 
04/05/2020,Sandwiches,South, 155.07 
17/05/2020,Pizza,South West, 51.33 
22/05/2020,Beef,North, 37.18 
28/05/2020,Orange Juice,South, 351.99 
19/05/2020,Beef,South West, 271.27 
12/05/2020,Pizza,Central, 152.93 
13/05/2020,Beef,South, 90.16 
05/05/2020,Green Tea,Central, 301.46 
10/05/2020,Green Tea,South West, 30.51 
19/05/2020,Orange Juice,South West, 241.78 
09/05/2020,Green Tea,Central, 371.59 
30/05/2020,Pizza,Central, 69.65 
15/05/2020,Pizza,North, 98.77 
04/05/2020,Chicken,South West, 221.32 
13/05/2020,Orange Juice,South, 206.51 
02/05/2020,Orange Juice,South, 131.43 
28/05/2020,Broccoli,East, 188.44 
07/05/2020,Orange Juice,South West, 67.37 
01/05/2020,Chicken,South, 163.85 
08/05/2020,Chicken,North, 197.90 
06/05/2020,Pizza,South, 387.08 
03/05/2020,Cucumber,South West, 46.83 
01/05/2020,Orange Juice,South, 207.70 
24/05/2020,Tomatoes,South, 234.87 
23/05/2020,Beef,East, 278.63 
05/05/2020,Sandwiches,Central, 238.38 
12/05/2020,Cucumber,North, 209.42 
01/05/2020,Tomatoes,South West, 55.65 
06/05/2020,Cucumber,North, 263.37 
30/05/2020,Tomatoes,Central, 33.19 
24/05/2020,Green Tea,East, 253.77 
08/05/2020,Broccoli,Central, 392.49 
27/05/2020,Green Tea,East, 327.96 
05/05/2020,Tomatoes,North, 245.21 
29/05/2020,Broccoli,South, 344.96 
17/05/2020,Sandwiches,East, 366.66 
13/05/2020,Sandwiches,South, 198.17 
15/05/2020,Broccoli,South West, 16.20 
06/05/2020,Orange Juice,South, 223.26 
21/05/2020,Broccoli,East, 62.19 
03/05/2020,Cucumber,East, 316.07 
07/05/2020,Sandwiches,South West, 247.87 
25/05/2020,Beef,South, 61.38 
28/05/2020,Tomatoes,Central, 242.43 
11/05/2020,Beef,South, 247.36 
17/05/2020,Broccoli,North, 240.19 
09/05/2020,Green Tea,East, 391.45 
09/05/2020,Orange Juice,North, 270.80 
04/05/2020,Pizza,Central, 314.28 
06/05/2020,Orange Juice,South, 276.80 
01/05/2020,Broccoli,North, 134.31 
10/05/2020,Broccoli,East, 10.26 
28/05/2020,Cucumber,South, 91.96 
28/05/2020,Tomatoes,North, 261.75 
07/05/2020,Cucumber,South, 23.79 
26/05/2020,Beef,Central, 339.91 
15/05/2020,Chicken,South West, 390.50 
27/05/2020,Broccoli,East, 381.34 
11/05/2020,Orange Juice,South, 220.54 
18/05/2020,Sandwiches,South, 228.71 
02/05/2020,Chicken,Central, 208.90 
26/05/2020,Beef,South, 240.98 
20/05/2020,Beef,South, 47.58 
30/05/2020,Chicken,East, 185.69 
23/05/2020,Broccoli,North, 210.94 
31/05/2020,Broccoli,North, 140.58 
19/05/2020,Green Tea,South West, 32.60 
16/05/2020,Beef,North, 35.07 
08/05/2020,Tomatoes,East, 75.85 
21/05/2020,Orange Juice,East, 375.61 
19/05/2020,Orange Juice,South West, 53.68 
03/05/2020,Pizza,East, 346.42 
21/05/2020,Broccoli,Central, 277.91 
12/05/2020,Green Tea,East, 388.04 
01/05/2020,Tomatoes,South, 21.76 
25/05/2020,Orange Juice,Central, 141.32 
22/05/2020,Broccoli,Central, 25.48 
28/05/2020,Sandwiches,South West, 261.75 
18/05/2020,Green Tea,South West, 31.32 
30/05/2020,Green Tea,East, 43.81 
20/05/2020,Beef,South West, 213.18 
09/05/2020,Pizza,South West, 396.92 
20/05/2020,Beef,North, 144.70 
26/05/2020,Beef,Central, 314.16 
04/05/2020,Tomatoes,North, 83.12 
29/05/2020,Sandwiches,South, 269.96 
30/05/2020,Pizza,East, 323.35 
21/05/2020,Sandwiches,Central, 187.98 
23/05/2020,Pizza,Central, 306.17 
03/05/2020,Beef,Central, 77.74 
18/05/2020,Orange Juice,North, 45.90 
25/05/2020,Broccoli,South West, 190.26 
24/05/2020,Chicken,North, 319.61 
14/05/2020,Pizza,South, 167.85 
28/05/2020,Cucumber,North, 251.95 
07/05/2020,Tomatoes,Central, 173.39 
21/05/2020,Sandwiches,Central, 102.36 
17/05/2020,Orange Juice,South, 264.91 
08/05/2020,Broccoli,North, 375.28 
12/05/2020,Chicken,South West, 99.52 
08/05/2020,Pizza,South, 123.97 
08/05/2020,Green Tea,Central, 225.81 
21/05/2020,Tomatoes,North, 239.02 
10/05/2020,Tomatoes,North, 10.81 
11/05/2020,Beef,East, 103.72 
31/05/2020,Tomatoes,South West, 216.54 
07/05/2020,Beef,East, 377.62 
18/05/2020,Sandwiches,South, 21.12 
03/05/2020,Sandwiches,South West, 392.80 
14/05/2020,Broccoli,North, 262.47 
02/05/2020,Chicken,South, 345.71 
27/05/2020,Beef,Central, 236.66 
14/05/2020,Green Tea,South, 238.02 
05/05/2020,Pizza,Central, 169.67 
12/05/2020,Sandwiches,North, 162.08 
11/05/2020,Tomatoes,Central, 304.24 
20/05/2020,Beef,North, 179.46 
06/05/2020,Orange Juice,South West, 265.15 
04/05/2020,Green Tea,South West, 293.81 
27/05/2020,Pizza,South West, 68.61 
22/05/2020,Tomatoes,South West, 221.00 
17/05/2020,Sandwiches,North, 358.13 
13/05/2020,Green Tea,South West, 152.72 
31/05/2020,Pizza,Central, 145.75 
22/05/2020,Tomatoes,East, 35.00 
23/05/2020,Green Tea,North, 35.05 
09/05/2020,Orange Juice,East, 186.33 
21/05/2020,Chicken,South West, 205.43 
01/05/2020,Orange Juice,South West, 193.87 
25/05/2020,Tomatoes,South West, 368.97 
20/05/2020,Sandwiches,South, 24.04 
12/05/2020,Broccoli,South West, 220.35 
05/05/2020,Green Tea,North, 135.21 
31/05/2020,Orange Juice,East, 69.75 
05/05/2020,Green Tea,South, 123.36 
10/05/2020,Cucumber,East, 20.97 
03/05/2020,Orange Juice,East, 71.39 
20/05/2020,Broccoli,South West, 217.95 
