Date,Product,Region,Amount
25/11/2020,Cucumber,Central, 167.23 
19/11/2020,Cucumber,South West, 168.58 
03/11/2020,Beef,Central, 312.13 
25/11/2020,Broccoli,South West, 234.11 
27/11/2020,Pizza,South, 108.96 
20/11/2020,Orange Juice,East, 102.95 
20/11/2020,Orange Juice,South, 395.13 
07/11/2020,Sandwiches,South, 78.08 
08/11/2020,Tomatoes,South West, 62.99 
22/11/2020,Broccoli,South West, 272.87 
21/11/2020,Chicken,North, 65.69 
11/11/2020,Cucumber,East, 62.58 
16/11/2020,Broccoli,South, 98.60 
07/11/2020,Beef,Central, 256.97 
04/11/2020,Pizza,North, 332.44 
30/11/2020,Tomatoes,East, 235.68 
29/11/2020,Beef,South, 344.96 
16/11/2020,Chicken,Central, 83.50 
18/11/2020,Green Tea,North, 102.21 
23/11/2020,Broccoli,East, 268.12 
28/11/2020,Tomatoes,South West, 331.67 
26/11/2020,Beef,Central, 184.08 
05/11/2020,Broccoli,East, 385.29 
11/11/2020,Sandwiches,South West, 281.94 
09/11/2020,Beef,East, 104.85 
08/11/2020,Orange Juice,South West, 385.95 
16/11/2020,Green Tea,Central, 143.74 
18/11/2020,Sandwiches,South West, 147.07 
28/11/2020,Chicken,Central, 44.19 
10/11/2020,Beef,East, 246.55 
29/11/2020,Sandwiches,East, 92.59 
09/11/2020,Beef,Central, 223.40 
02/11/2020,Green Tea,South West, 64.86 
21/11/2020,Green Tea,North, 69.46 
01/11/2020,Cucumber,East, 110.62 
24/11/2020,Sandwiches,Central, 30.33 
06/11/2020,Green Tea,South West, 343.06 
16/11/2020,Chicken,East, 15.64 
24/11/2020,Tomatoes,East, 272.94 
11/11/2020,Chicken,Central, 303.33 
04/11/2020,Sandwiches,East, 217.61 
28/11/2020,Tomatoes,South West, 369.35 
17/11/2020,Chicken,East, 154.98 
07/11/2020,Orange Juice,South, 270.48 
11/11/2020,Pizza,North, 114.53 
22/11/2020,Broccoli,South, 56.64 
06/11/2020,Orange Juice,South, 160.72 
12/11/2020,Broccoli,North, 64.11 
04/11/2020,Green Tea,North, 117.14 
14/11/2020,Pizza,South West, 155.50 
23/11/2020,Orange Juice,South, 277.86 
03/11/2020,Green Tea,Central, 72.28 
11/11/2020,Cucumber,South West, 289.88 
12/11/2020,Broccoli,East, 159.35 
17/11/2020,Sandwiches,South West, 211.31 
14/11/2020,Beef,South, 104.70 
04/11/2020,Orange Juice,North, 53.14 
05/11/2020,Chicken,South West, 339.06 
14/11/2020,Cucumber,South West, 174.58 
28/11/2020,Sandwiches,South West, 211.98 
24/11/2020,Tomatoes,Central, 384.33 
02/11/2020,Chicken,South West, 330.51 
24/11/2020,Chicken,East, 257.23 
17/11/2020,Cucumber,North, 66.28 
05/11/2020,Broccoli,Central, 55.80 
10/11/2020,Sandwiches,Central, 279.86 
24/11/2020,Sandwiches,South West, 328.00 
23/11/2020,Tomatoes,East, 236.87 
15/11/2020,Beef,North, 330.17 
10/11/2020,Pizza,South West, 167.61 
29/11/2020,Pizza,South West, 192.56 
11/11/2020,Chicken,Central, 397.78 
14/11/2020,Broccoli,North, 103.88 
19/11/2020,Tomatoes,South West, 219.64 
28/11/2020,Cucumber,South West, 272.30 
29/11/2020,Tomatoes,South West, 307.14 
14/11/2020,Pizza,East, 233.99 
24/11/2020,Green Tea,South West, 47.99 
13/11/2020,Chicken,South, 176.27 
01/11/2020,Chicken,South, 194.69 
11/11/2020,Beef,Central, 340.09 
03/11/2020,Broccoli,South West, 243.43 
26/11/2020,Sandwiches,North, 216.15 
13/11/2020,Sandwiches,South, 65.91 
04/11/2020,Chicken,South, 212.80 
29/11/2020,Beef,North, 71.21 
12/11/2020,Pizza,North, 144.79 
