Date,Product,Region,Amount
27/10/2020,Green Tea,Central, 173.39 
14/10/2020,Cucumber,South West, 356.01 
09/10/2020,Beef,South West, 166.71 
30/10/2020,Green Tea,East, 81.05 
27/10/2020,Sandwiches,South West, 53.74 
02/10/2020,Cucumber,Central, 85.48 
16/10/2020,Orange Juice,South, 124.13 
07/10/2020,Green Tea,Central, 335.61 
23/10/2020,Green Tea,Central, 289.27 
30/10/2020,Beef,South West, 380.28 
27/10/2020,Pizza,South, 114.70 
14/10/2020,Tomatoes,Central, 93.21 
27/10/2020,Beef,Central, 344.86 
04/10/2020,Orange Juice,South, 197.88 
07/10/2020,Cucumber,South West, 338.77 
18/10/2020,Sandwiches,South West, 302.49 
21/10/2020,Broccoli,South West, 388.82 
16/10/2020,Sandwiches,East, 249.70 
28/10/2020,Orange Juice,South West, 235.94 
20/10/2020,Pizza,South West, 382.58 
05/10/2020,Sandwiches,South West, 162.22 
15/10/2020,Cucumber,North, 362.94 
12/10/2020,Sandwiches,East, 258.88 
27/10/2020,Sandwiches,North, 295.57 
27/10/2020,Beef,North, 368.89 
19/10/2020,Tomatoes,South, 342.39 
29/10/2020,Orange Juice,North, 275.23 
27/10/2020,Green Tea,East, 103.55 
13/10/2020,Tomatoes,South, 85.96 
21/10/2020,Green Tea,Central, 214.09 
10/10/2020,Tomatoes,South West, 337.99 
16/10/2020,Sandwiches,North, 191.98 
26/10/2020,Broccoli,North, 395.30 
23/10/2020,Broccoli,South West, 38.01 
01/10/2020,Broccoli,South West, 204.53 
24/10/2020,Green Tea,Central, 310.77 
02/10/2020,Chicken,Central, 359.05 
05/10/2020,Pizza,East, 82.82 
31/10/2020,Tomatoes,North, 230.87 
11/10/2020,Beef,North, 219.19 
25/10/2020,Pizza,South West, 38.67 
23/10/2020,Beef,South, 136.57 
31/10/2020,Sandwiches,East, 228.51 
31/10/2020,Cucumber,South West, 342.93 
18/10/2020,Sandwiches,North, 231.05 
19/10/2020,Cucumber,South, 275.41 
31/10/2020,Chicken,North, 146.89 
16/10/2020,Orange Juice,East, 132.90 
31/10/2020,Beef,North, 32.45 
08/10/2020,Tomatoes,South, 348.80 
05/10/2020,Beef,North, 233.11 
19/10/2020,Pizza,Central, 258.50 
20/10/2020,Broccoli,Central, 147.71 
28/10/2020,Orange Juice,North, 247.82 
28/10/2020,Green Tea,South, 109.77 
25/10/2020,Green Tea,South West, 339.92 
30/10/2020,Pizza,East, 207.94 
25/10/2020,Broccoli,South, 287.26 
28/10/2020,Broccoli,East, 237.35 
07/10/2020,Pizza,East, 56.92 
17/10/2020,Pizza,South, 83.17 
13/10/2020,Orange Juice,East, 389.05 
13/10/2020,Cucumber,South, 81.42 
01/10/2020,Broccoli,Central, 48.57 
13/10/2020,Pizza,South, 308.62 
16/10/2020,Cucumber,South, 52.20 
09/10/2020,Cucumber,South West, 239.69 
06/10/2020,Tomatoes,South West, 331.83 
11/10/2020,Sandwiches,South West, 320.30 
17/10/2020,Beef,North, 175.01 
12/10/2020,Sandwiches,North, 277.35 
12/10/2020,Beef,East, 342.12 
20/10/2020,Pizza,South West, 155.30 
07/10/2020,Chicken,South, 229.86 
26/10/2020,Broccoli,Central, 293.81 
06/10/2020,Green Tea,East, 292.19 
30/10/2020,Sandwiches,South, 300.57 
25/10/2020,Tomatoes,Central, 311.47 
27/10/2020,Chicken,South, 25.33 
24/10/2020,Pizza,East, 180.52 
18/10/2020,Orange Juice,South West, 78.16 
03/10/2020,Pizza,South West, 84.75 
20/10/2020,Tomatoes,South, 108.22 
31/10/2020,Orange Juice,North, 360.34 
17/10/2020,Sandwiches,South, 38.18 
16/10/2020,Tomatoes,East, 370.99 
25/10/2020,Tomatoes,East, 178.53 
31/10/2020,Tomatoes,Central, 393.23 
12/10/2020,Broccoli,East, 376.36 
07/10/2020,Chicken,East, 72.58 
30/10/2020,Green Tea,South, 104.03 
24/10/2020,Green Tea,South, 314.13 
14/10/2020,Broccoli,East, 361.57 
10/10/2020,Cucumber,Central, 313.99 
15/10/2020,Broccoli,East, 14.81 
03/10/2020,Tomatoes,South, 96.35 
13/10/2020,Pizza,North, 218.17 
04/10/2020,Orange Juice,East, 361.30 
23/10/2020,Orange Juice,East, 157.19 
19/10/2020,Tomatoes,South West, 267.93 
29/10/2020,Beef,Central, 140.09 
24/10/2020,Tomatoes,Central, 245.48 
15/10/2020,Sandwiches,North, 114.05 
02/10/2020,Pizza,South West, 330.71 
13/10/2020,Tomatoes,Central, 393.66 
22/10/2020,Beef,Central, 187.60 
07/10/2020,Tomatoes,North, 199.06 
07/10/2020,Beef,South West, 56.17 
17/10/2020,Sandwiches,East, 319.26 
27/10/2020,Tomatoes,South West, 325.24 
23/10/2020,Pizza,North, 254.99 
29/10/2020,Tomatoes,East, 32.30 
29/10/2020,Green Tea,South, 91.24 
31/10/2020,Green Tea,North, 163.67 
11/10/2020,Orange Juice,South West, 74.64 
27/10/2020,Broccoli,South West, 120.36 
27/10/2020,Pizza,East, 299.22 
06/10/2020,Green Tea,South West, 241.21 
15/10/2020,Sandwiches,South West, 358.33 
26/10/2020,Pizza,East, 142.95 
02/10/2020,Cucumber,North, 26.90 
11/10/2020,Chicken,South, 359.01 
30/10/2020,Pizza,East, 98.21 
08/10/2020,Tomatoes,North, 226.35 
22/10/2020,Chicken,South West, 284.35 
24/10/2020,Green Tea,South, 379.48 
02/10/2020,Pizza,South, 275.60 
22/10/2020,Beef,North, 178.69 
19/10/2020,Chicken,North, 338.33 
11/10/2020,Broccoli,Central, 24.67 
09/10/2020,Tomatoes,Central, 137.32 
15/10/2020,Pizza,East, 319.90 
17/10/2020,Green Tea,East, 247.76 
06/10/2020,Cucumber,Central, 217.99 
24/10/2020,Chicken,South West, 110.79 
31/10/2020,Beef,Central, 246.80 
27/10/2020,Sandwiches,South West, 33.65 
14/10/2020,Beef,South, 30.85 
28/10/2020,Green Tea,East, 173.72 
28/10/2020,Pizza,East, 97.38 
26/10/2020,Orange Juice,East, 336.22 
06/10/2020,Orange Juice,South West, 399.30 
06/10/2020,Broccoli,Central, 342.61 
29/10/2020,Beef,Central, 123.70 
28/10/2020,Green Tea,North, 234.44 
30/10/2020,Beef,South West, 258.08 
08/10/2020,Broccoli,South West, 344.99 
23/10/2020,Pizza,North, 66.80 
15/10/2020,Cucumber,South, 192.64 
09/10/2020,Pizza,East, 76.90 
14/10/2020,Pizza,East, 353.94 
16/10/2020,Beef,Central, 116.67 
01/10/2020,Tomatoes,East, 94.11 
20/10/2020,Sandwiches,Central, 71.04 
21/10/2020,Tomatoes,North, 228.41 
11/10/2020,Broccoli,Central, 397.30 
19/10/2020,Cucumber,South, 277.36 
03/10/2020,Beef,South West, 337.25 
15/10/2020,Beef,North, 213.76 
24/10/2020,Cucumber,Central, 357.72 
20/10/2020,Sandwiches,North, 109.56 
27/10/2020,Orange Juice,South, 267.02 
29/10/2020,Tomatoes,Central, 50.79 
20/10/2020,Beef,Central, 245.22 
21/10/2020,Chicken,Central, 131.99 
19/10/2020,Broccoli,South, 16.60 
13/10/2020,Pizza,East, 345.01 
02/10/2020,Broccoli,East, 329.35 
15/10/2020,Beef,Central, 397.31 
14/10/2020,Beef,Central, 222.96 
14/10/2020,Orange Juice,East, 392.89 
16/10/2020,Green Tea,South West, 51.49 
15/10/2020,Pizza,South, 121.27 
18/10/2020,Green Tea,South West, 292.64 
16/10/2020,Broccoli,East, 108.81 
13/10/2020,Tomatoes,South West, 107.40 
